disease,final_annotation,gene,cells,expressing_cells,expressing_fraction,mean_log_expression,mean_log_expression_among_expressing
PVR,Cycling_Myeloid,SULF1,188,0,0.0,0.0,0.0
PVR,Cycling_Myeloid,CFH,188,0,0.0,0.0,0.0
PVR,Cycling_Myeloid,TIMP1,188,168,0.8936170212765957,2.1260180598836573,2.379115447965045
PVR,Cycling_Myeloid,SERPINE1,188,22,0.11702127659574468,0.12231794874409861,1.0452624710859335
PVR,Endothelial,POSTN,4,0,0.0,0.0,0.0
PVR,Endothelial,FN1,4,4,1.0,3.8365975942995973,3.8365975942995973
PVR,Endothelial,THBS2,4,0,0.0,0.0,0.0
PVR,Endothelial,CTHRC1,4,0,0.0,0.0,0.0
PVR,Endothelial,AEBP1,4,0,0.0,0.0,0.0
PVR,Endothelial,IGFBP7,4,1,0.25,0.5514509296069006,2.2058037184276023
PVR,Endothelial,SULF1,4,0,0.0,0.0,0.0
PVR,Endothelial,CFH,4,0,0.0,0.0,0.0
PVR,Endothelial,TIMP1,4,4,1.0,2.416642796090968,2.416642796090968
PVR,Endothelial,SERPINE1,4,1,0.25,0.2863439670325268,1.1453758681301072
PVR,Fibroblast_Mesenchymal,POSTN,2334,309,0.13239074550128535,0.37392290110320264,2.8243885151290455
PVR,Fibroblast_Mesenchymal,FN1,2334,1200,0.5141388174807198,1.6944869764897226,3.2957771692725104
PVR,Fibroblast_Mesenchymal,THBS2,2334,114,0.04884318766066838,0.06639191136595515,1.359287027439819
PVR,Fibroblast_Mesenchymal,CTHRC1,2334,454,0.194515852613539,0.3033535371232566,1.5595311798363012
PVR,Fibroblast_Mesenchymal,AEBP1,2334,360,0.15424164524421594,0.2602460428196547,1.6872618442807612
PVR,Fibroblast_Mesenchymal,IGFBP7,2334,1236,0.5295629820051414,1.6184090904974682,3.056122020405413
PVR,Fibroblast_Mesenchymal,SULF1,2334,1022,0.43787489288774634,1.1144407013225366,2.545112130026223
PVR,Fibroblast_Mesenchymal,CFH,2334,581,0.24892887746358183,0.5670808267792471,2.278083734428163
PVR,Fibroblast_Mesenchymal,TIMP1,2334,1155,0.4948586118251928,1.6460361245219597,3.326275597085935
PVR,Fibroblast_Mesenchymal,SERPINE1,2334,1088,0.4661525278491859,1.4330343245612023,3.0741747366965493
PVR,Muller_Glial,POSTN,2946,98,0.03326544467073999,0.0361952016717222,1.0880720829070776
PVR,Muller_Glial,FN1,2946,1500,0.5091649694501018,0.9130033561059558,1.7931385913920974
PVR,Muller_Glial,THBS2,2946,13,0.004412763068567549,0.002783558383895053,0.6307971537657558
PVR,Muller_Glial,CTHRC1,2946,190,0.06449422946367957,0.055185214463533486,0.8556612726819457
PVR,Muller_Glial,AEBP1,2946,626,0.21249151391717583,0.20006742646067277,0.9415313711711534
PVR,Muller_Glial,IGFBP7,2946,1076,0.3652410047522064,0.45963788573334546,1.2584509399353492
PVR,Muller_Glial,SULF1,2946,1733,0.588255261371351,1.0550894437001734,1.7935911720373403
PVR,Muller_Glial,CFH,2946,208,0.07060420909708079,0.07441498459393205,1.0539737721813642
